Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
NCR18650PD;2800;50;45;0.928;285.0;0.0252632;201.6;0.707368421;258.1894737;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;45;0.927;300.0;0.0243333;204.4;0.681333333;248.6866667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;45;0.950;300.0;0.0166667;140;0.466666667;170.3333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;45;0.971;300.0;0.0096667;81.2;0.270666667;98.79333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;40;45;0.934;300.0;0.0220000;135.3;0.451;164.615;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;45;0.972;300.0;0.0093333;57.4;0.191333333;69.83666667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;40;45;0.925;270.0;0.0277778;82.5;0.305555556;111.5277778;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;45;0.971;270.0;0.0107407;31.9;0.118148148;43.12407407;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
NCR18650PD;2800;25;50;0.970;288.0;0.0104167;84;0.291666667;106.4583333;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;50;0.927;285.0;0.0256140;204.4;0.717192982;261.7754386;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.886;3.0;3.7500000;364.8;120;43800;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.862;73.0;0.1890411;441.6;6.049315068;2208;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.861;139.0;0.1000000;444.8;3.2;1168;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.854;202.0;0.0722772;467.2;2.312871287;844.1980198;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.838;297.0;0.0545455;518.4;1.745454545;637.0909091;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.832;385.0;0.0436364;537.6;1.396363636;509.6727273;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;50;0.837;435.0;0.0374713;521.6;1.19908046;437.6643678;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.877;3.0;4.0460526;393.6;129.4736842;47257.89474;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.862;73.0;0.1890411;441.6;6.049315068;2208;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.862;139.0;0.0992806;441.6;3.176978417;1159.597122;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.846;202.0;0.0762376;492.8;2.43960396;890.4554455;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.838;297.0;0.0545455;518.4;1.745454545;637.0909091;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.828;385.0;0.0446753;550.4;1.42961039;521.8077922;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;50;0.836;435.0;0.0377011;524.8;1.206436782;440.3494253;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.889;3.0;3.6513158;355.2;116.8421053;42647.36842;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.858;73.0;0.1945205;454.4;6.224657534;2272;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.853;139.0;0.1057554;470.4;3.384172662;1235.223022;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.838;202.0;0.0801980;518.4;2.566336634;936.7128713;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.829;297.0;0.0575758;547.2;1.842424242;672.4848485;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.819;385.0;0.0470130;579.2;1.504415584;549.1116883;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;50;0.823;435.0;0.0406897;566.4;1.302068966;475.2551724;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;50;0.928;300.0;0.0240000;201.6;0.672;245.28;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;50;0.950;300.0;0.0166667;140;0.466666667;170.3333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;50;0.971;300.0;0.0096667;81.2;0.270666667;98.79333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;50;0.878;300.0;0.0406667;250.1;0.833666667;304.2883333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;50;0.933;300.0;0.0223333;137.35;0.457833333;167.1091667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;50;0.972;300.0;0.0093333;57.4;0.191333333;69.83666667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;50;0.883;270.0;0.0433333;128.7;0.476666667;173.9833333;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;50;0.933;270.0;0.0248148;73.7;0.272962963;99.63148148;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;50;0.971;270.0;0.0107407;31.9;0.118148148;43.12407407;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;50;0.903;161.7;0.0599839;198.85;1.229670398;448.8296951;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;55;0.968;288.0;0.0111111;89.6;0.311111111;113.5555556;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;55;0.925;285.0;0.0263158;210;0.736842105;268.9473684;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;55;0.926;300.0;0.0246667;207.2;0.690666667;252.0933333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;55;0.946;300.0;0.0180000;151.2;0.504;183.96;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;55;0.969;300.0;0.0103333;86.8;0.289333333;105.6066667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;40;55;0.933;300.0;0.0223333;137.35;0.457833333;167.1091667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;55;0.971;300.0;0.0096667;59.45;0.198166667;72.33083333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;55;0.882;270.0;0.0437037;129.8;0.480740741;175.4703704;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;55;0.928;270.0;0.0266667;79.2;0.293333333;107.0666667;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;55;0.972;270.0;0.0103704;30.8;0.114074074;41.63703704;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
NCR18650PD;2800;25;60;0.951;288.0;0.0170139;137.2;0.476388889;173.8819444;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;60;0.914;285.0;0.0301754;240.8;0.844912281;308.3929825;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;60;0.916;300.0;0.0280000;235.2;0.784;286.16;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;60;0.936;300.0;0.0213333;179.2;0.597333333;218.0266667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;60;0.954;300.0;0.0153333;128.8;0.429333333;156.7066667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;60;0.875;300.0;0.0416667;256.25;0.854166667;311.7708333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;60;0.932;300.0;0.0226667;139.4;0.464666667;169.6033333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;60;0.969;300.0;0.0103333;63.55;0.211833333;77.31916667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;60;0.884;270.0;0.0429630;127.6;0.472592593;172.4962963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;60;0.928;270.0;0.0266667;79.2;0.293333333;107.0666667;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;60;0.968;270.0;0.0118519;35.2;0.13037037;47.58518519;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;60;0.775;517.2;0.0435060;461.25;0.891873078;325.5336736;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;65;0.949;288.0;0.0177083;142.8;0.495833333;180.9791667;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;65;0.896;285.0;0.0364912;291.2;1.021754386;372.9403509;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;65;0.899;300.0;0.0336667;282.8;0.942666667;344.0733333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;65;0.923;300.0;0.0256667;215.6;0.718666667;262.3133333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;65;0.951;300.0;0.0163333;137.2;0.457333333;166.9266667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;65;0.875;300.0;0.0416667;256.25;0.854166667;311.7708333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;65;0.922;300.0;0.0260000;159.9;0.533;194.545;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;65;0.956;300.0;0.0146667;90.2;0.300666667;109.7433333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;65;0.881;270.0;0.0440741;130.9;0.484814815;176.9574074;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;65;0.928;270.0;0.0266667;79.2;0.293333333;107.0666667;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;65;0.967;270.0;0.0122222;36.3;0.134444444;49.07222222;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
NCR18650PD;2800;25;70;0.948;288.0;0.0180556;145.6;0.505555556;184.5277778;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;70;0.893;285.0;0.0375439;299.6;1.05122807;383.6982456;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;70;0.894;300.0;0.0353333;296.8;0.989333333;361.1066667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;70;0.922;300.0;0.0260000;218.4;0.728;265.72;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;70;0.950;300.0;0.0166667;140;0.466666667;170.3333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;70;0.856;300.0;0.0480000;295.2;0.984;359.16;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;70;0.899;300.0;0.0336667;207.05;0.690166667;251.9108333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;70;0.946;300.0;0.0180000;110.7;0.369;134.685;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;70;0.884;270.0;0.0429630;127.6;0.472592593;172.4962963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;70;0.924;270.0;0.0281481;83.6;0.30962963;113.0148148;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;70;0.965;270.0;0.0129630;38.5;0.142592593;52.0462963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
NCR18650PD;2800;25;80;0.949;288.0;0.0177083;142.8;0.495833333;180.9791667;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;80;0.892;285.0;0.0378947;302.4;1.061052632;387.2842105;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;80;0.918;300.0;0.0273333;229.6;0.765333333;279.3466667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;80;0.949;300.0;0.0170000;142.8;0.476;173.74;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;80;0.825;300.0;0.0583333;358.75;1.195833333;436.4791667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;80;0.891;300.0;0.0363333;223.45;0.744833333;271.8641667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;80;0.945;300.0;0.0183333;112.75;0.375833333;137.1791667;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;80;0.867;270.0;0.0492593;146.3;0.541851852;197.7759259;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;80;0.903;270.0;0.0359259;106.7;0.395185185;144.2425926;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;80;0.942;270.0;0.0214815;63.8;0.236296296;86.24814815;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;80;0.761;406.2;0.0588438;489.95;1.206298011;440.2987739;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;50;85;0.751;407.5;0.0611073;510.45;1.252699519;457.2353244;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;90;0.946;288.0;0.0187500;151.2;0.525;191.625;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;90;0.887;285.0;0.0396491;316.4;1.110175439;405.2140351;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.891;3.0;3.5855263;348.8;114.7368421;41878.94737;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.849;73.0;0.2068493;483.2;6.619178082;2416;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.844;139.0;0.1122302;499.2;3.591366906;1310.848921;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.826;202.0;0.0861386;556.8;2.756435644;1006.09901;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.835;297.0;0.0555556;528;1.777777778;648.8888889;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.817;385.0;0.0475325;585.6;1.521038961;555.1792208;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;10;90;0.820;435.0;0.0413793;576;1.324137931;483.3103448;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.873;3.0;4.1776316;406.4;133.6842105;48794.73684;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.832;73.0;0.2301370;537.6;7.364383562;2688;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.836;139.0;0.1179856;524.8;3.775539568;1378.071942;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.826;202.0;0.0861386;556.8;2.756435644;1006.09901;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.812;297.0;0.0632997;601.6;2.025589226;739.3400673;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.812;385.0;0.0488312;601.6;1.562597403;570.3480519;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;45;90;0.816;435.0;0.0422989;588.8;1.353563218;494.0505747;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.885;3.0;3.7828947;368;121.0526316;44184.21053;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.843;73.0;0.2150685;502.4;6.882191781;2512;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.819;139.0;0.1302158;579.2;4.166906475;1520.920863;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.819;202.0;0.0896040;579.2;2.867326733;1046.574257;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.804;297.0;0.0659933;627.2;2.111784512;770.8013468;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.799;385.0;0.0522078;643.2;1.670649351;609.787013;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650BD;3200;25;90;0.792;435.0;0.0478161;665.6;1.530114943;558.491954;An evaluation study of different modelling techniques for calendar ageing prediction of lithium-ion batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;90;0.887;300.0;0.0376667;316.4;1.054666667;384.9533333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;90;0.913;300.0;0.0290000;243.6;0.812;296.38;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;90;0.947;300.0;0.0176667;148.4;0.494666667;180.5533333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;40;90;0.889;300.0;0.0370000;227.55;0.7585;276.8525;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;90;0.943;300.0;0.0190000;116.85;0.3895;142.1675;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;90;0.860;270.0;0.0518519;154;0.57037037;208.1851852;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;90;0.896;270.0;0.0385185;114.4;0.423703704;154.6518519;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;90;0.942;270.0;0.0214815;63.8;0.236296296;86.24814815;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;90;0.755;346.6;0.0706867;502.25;1.449076746;528.9130121;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;95;0.944;288.0;0.0194444;156.8;0.544444444;198.7222222;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;95;0.884;285.0;0.0407018;324.8;1.139649123;415.9719298;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;95;0.882;300.0;0.0393333;330.4;1.101333333;401.9866667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;95;0.908;300.0;0.0306667;257.6;0.858666667;313.4133333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;95;0.947;300.0;0.0176667;148.4;0.494666667;180.5533333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;95;0.827;300.0;0.0576667;354.65;1.182166667;431.4908333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;95;0.896;300.0;0.0346667;213.2;0.710666667;259.3933333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;95;0.940;300.0;0.0200000;123;0.41;149.65;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;95;0.857;270.0;0.0529630;157.3;0.582592593;212.6462963;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;95;0.899;270.0;0.0374074;111.1;0.411481481;150.1907407;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;95;0.945;270.0;0.0203704;60.5;0.224074074;81.78703704;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;95;0.747;346.6;0.0730011;518.65;1.496523069;546.2309202;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;100;0.943;288.0;0.0197917;159.6;0.554166667;202.2708333;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;100;0.876;285.0;0.0435088;347.2;1.218245614;444.6596491;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;100;0.874;300.0;0.0420000;352.8;1.176;429.24;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;100;0.908;300.0;0.0306667;257.6;0.858666667;313.4133333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;100;0.944;300.0;0.0186667;156.8;0.522666667;190.7733333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;100;0.766;300.0;0.0780000;479.7;1.599;583.635;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
